Titles	Comedy	Romance	Adventure	Biography	Drama	History	Action	Crime	Thriller	Mystery	Scifi	Fantasy	Western	Music	War	Family	Sport	Documentary	Short
shakespeare in love	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
seven days to live	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
miami vice	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
le grand bleu	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
smoke	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
spacejacked	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
sling blade	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
spare me	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
bound	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
bones	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-
brazil	-	-	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	-
the bourne identity	-	-	+	-	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-
broadcast news	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bringing out the dead	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-
buffy the vampire slayer	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-
a bucket of blood	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
casino	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
bull durham	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-
jason lives: friday the 13th part vi	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
jason goes to hell: the final friday	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
the getaway	-	-	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-
get carter	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
gandhi	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-
gattaca	-	+	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-
thirteen days	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-
thunderheart	-	-	-	-	-	-	-	+	+	+	-	-	+	-	-	-	-	-	-
thelma & louise	-	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
there's something about mary	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
the time machine	-	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-
the jacket	-	-	-	-	+	-	-	-	+	+	+	+	-	-	-	-	-	-	-
the lost boys	+	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-
the thing	-	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-
the crow: salvation	-	-	-	-	-	-	+	+	+	+	-	+	-	-	-	-	-	-	-
the day the earth stood still	-	-	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-
the bourne supremacy	-	-	+	-	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-
bottle rocket	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-
the boondock saints	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
blue velvet	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-
blast from the past	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blade runner	-	-	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-
black rain	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-
black snake moan	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-
birthday girl	+	+	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-
big fish	-	-	+	-	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-
mission: impossible	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
mission: impossible ii	-	-	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-
misery	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-
mimic	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-
arcade	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
